record_key,change_type,column_name,old_value,new_value
EMP1025,modified,Gender,Fem.,Female
EMP1026,modified,Department,<MISSING>,Finance
EMP1026,modified,Date of Birth,<MISSING>,1985-01-11
EMP1026,modified,Gender,<MISSING>,Female
EMP1026,modified,Performance Score,<MISSING>,2.8
EMP1027,modified,Date of Birth,06-15-1978,1978-06-15
EMP1027,modified,Gender,Fem,Female
EMP1027,modified,Date of Joining,2014.02.03,2014-02-03
EMP1028,modified,Department,<MISSING>,Finance
EMP1028,modified,Date of Birth,<MISSING>,1985-01-11
EMP1028,modified,Salary,<MISSING>,94901.2
EMP1028,modified,Date of Joining,<MISSING>,2014-02-03
EMP1029,modified,Department,IT,It
EMP1029,modified,Date of Birth,<MISSING>,1985-01-11
EMP1030,modified,Gender,woman,Female
EMP1030,modified,Date of Joining,<MISSING>,2014-05-24
EMP1031,modified,Date of Birth,09-16-1979,1979-09-16
EMP1031,modified,Gender,male,Male
EMP1031,modified,Performance Score,<MISSING>,2.8
EMP1032,modified,Gender,M,Male
EMP1032,modified,Date of Joining,<MISSING>,2014-09-12
EMP1033,modified,Name,<MISSING>,Alice Johnson
EMP1033,modified,Department,<MISSING>,Finance
EMP1033,modified,Gender,female,Female
EMP1034,modified,Date of Birth,24/08/1980,1980-08-24
EMP1034,modified,Gender,<MISSING>,Female
EMP1034,modified,Salary,<MISSING>,94901.2
EMP1035,modified,Name,<MISSING>,Alice Johnson
EMP1035,modified,Gender,F,Female
EMP1035,modified,Salary,<MISSING>,80534.0
EMP1036,modified,Gender,female,Female
EMP1036,modified,Date of Joining,<MISSING>,2015-04-21
EMP1037,modified,Gender,<MISSING>,Female
EMP1037,modified,Performance Score,<MISSING>,3.2
EMP1038,modified,Date of Birth,1981/11/24,1981-11-24
EMP1038,modified,Gender,woman,Female
EMP1038,modified,Date of Joining,<MISSING>,2015-08-10
EMP1039,modified,Date of Birth,<MISSING>,1985-01-11
EMP1039,modified,Gender,Fem,Female
EMP1039,modified,Salary,<MISSING>,76874.68918918919
EMP1039,modified,Performance Score,<MISSING>,2.8666666666666667
EMP1040,modified,Name,<MISSING>,Alice Johnson
EMP1040,modified,Date of Birth,1982/07/11,1982-07-11
EMP1040,modified,Gender,<MISSING>,Female
EMP1040,modified,Date of Joining,01/23/2016,2016-01-23
EMP1041,modified,Gender,<MISSING>,Female
EMP1041,modified,Salary,<MISSING>,73102.2
EMP1042,modified,Name,<MISSING>,Alice Johnson
EMP1042,modified,Department,<MISSING>,Finance
EMP1042,modified,Date of Birth,<MISSING>,1985-01-11
EMP1042,modified,Gender,<MISSING>,Female
EMP1042,modified,Salary,<MISSING>,76874.68918918919
EMP1042,modified,Performance Score,<MISSING>,2.8666666666666667
EMP1043,modified,Gender,<MISSING>,Female
EMP1044,modified,Name,<MISSING>,Alice Johnson
EMP1044,modified,Department,<MISSING>,Finance
EMP1044,modified,Gender,woman,Female
EMP1044,modified,Salary,-5000.0,76874.68918918919
EMP1044,modified,Performance Score,<MISSING>,2.8666666666666667
EMP1045,modified,Department,<MISSING>,Finance
EMP1045,modified,Date of Birth,<MISSING>,1985-01-11
EMP1045,modified,Gender,male,Male
EMP1045,modified,Date of Joining,"Oct 26, 2016",2016-10-26
EMP1046,modified,Department,<MISSING>,Finance
EMP1047,modified,Date of Birth,19-Sep-1984,1984-09-19
EMP1047,modified,Performance Score,<MISSING>,2.6
EMP1048,modified,Gender,M,Male
EMP1048,modified,Date of Joining,2017.04.10,2017-04-10
EMP1049,modified,Department,HR,Hr
EMP1049,modified,Date of Birth,<MISSING>,1985-01-11
EMP1049,modified,Gender,<MISSING>,Female
EMP1049,modified,Date of Joining,06/04/2017,2017-06-04
EMP1050,modified,Department,<MISSING>,Finance
EMP1050,modified,Date of Birth,<MISSING>,1985-01-11
EMP1050,modified,Gender,male,Male
EMP1051,modified,Department,HR,Hr
EMP1051,modified,Date of Birth,<MISSING>,1985-01-11
EMP1051,modified,Gender,F,Female
EMP1052,modified,Department,IT,It
EMP1052,modified,Date of Birth,<MISSING>,1985-01-11
EMP1052,modified,Gender,<MISSING>,Female
EMP1053,modified,Gender,<MISSING>,Female
EMP1053,modified,Performance Score,<MISSING>,2.6
EMP1054,modified,Name,<MISSING>,Alice Johnson
EMP1054,modified,Department,HR,Hr
EMP1054,modified,Date of Birth,<MISSING>,1985-01-11
EMP1054,modified,Gender,male,Male
EMP1055,modified,Name,<MISSING>,Alice Johnson
EMP1055,modified,Gender,<MISSING>,Female
EMP1056,modified,Gender,male,Male
EMP1056,modified,Date of Joining,26-06-2018,2018-06-26
EMP1057,modified,Department,<MISSING>,Finance
EMP1057,modified,Gender,NonBinary,Female
EMP1057,modified,Salary,9999999.0,76968.6
EMP1058,modified,Date of Birth,<MISSING>,1985-01-11
EMP1058,modified,Gender,<MISSING>,Female
EMP1058,modified,Salary,-42000.0,72167.8
EMP1059,modified,Department,<MISSING>,Finance
EMP1059,modified,Gender,Unknown,Female
EMP1059,modified,Salary,<MISSING>,80534.0
EMP1059,modified,Date of Joining,<MISSING>,2018-10-15
EMP1060,modified,Department,<MISSING>,Finance
EMP1060,modified,Gender,Fem.,Female
EMP1061,modified,Department,<MISSING>,Finance
EMP1061,modified,Salary,-42000.0,94901.2
EMP1062,modified,Department,<MISSING>,Finance
EMP1062,modified,Gender,fem,Female
EMP1063,modified,Department,<MISSING>,Finance
EMP1063,modified,Gender,female,Female
EMP1063,modified,Salary,<MISSING>,94901.2
EMP1063,modified,Date of Joining,<MISSING>,2019-05-24
EMP1064,modified,Department,HR,Hr
EMP1064,modified,Gender,M,Male
EMP1064,modified,Date of Joining,<MISSING>,2019-05-24
EMP1065,modified,Name,<MISSING>,Alice Johnson
EMP1065,modified,Department,HR,Hr
EMP1065,modified,Gender,<MISSING>,Female
EMP1065,modified,Salary,<MISSING>,94901.2
EMP1066,modified,Gender,M,Male
EMP1066,modified,Performance Score,<MISSING>,3.6
EMP1067,modified,Date of Birth,12-24-1990,1990-12-24
EMP1067,modified,Gender,<MISSING>,Female
EMP1067,modified,Date of Joining,"Feb 25, 2020",2020-02-25
EMP1068,modified,Date of Birth,1991/04/17,1991-04-17
EMP1068,modified,Gender,X,Female
EMP1068,modified,Salary,-42000.0,76874.68918918919
EMP1068,modified,Date of Joining,"Apr 20, 2020",2020-04-20
EMP1068,modified,Performance Score,<MISSING>,2.8666666666666667
EMP1069,modified,Name,<MISSING>,Alice Johnson
EMP1069,modified,Department,HR,Hr
EMP1069,modified,Salary,0.0,76874.68918918919
EMP1069,modified,Performance Score,<MISSING>,2.8666666666666667
EMP1070,modified,Name,<MISSING>,Alice Johnson
EMP1070,modified,Date of Birth,<MISSING>,1985-01-11
EMP1071,modified,Gender,<MISSING>,Female
EMP1072,modified,Department,HR,Hr
EMP1072,modified,Date of Birth,<MISSING>,1985-01-11
EMP1072,modified,Gender,M,Male
EMP1072,modified,Salary,-42000.0,73102.2
EMP1073,modified,Name,<MISSING>,Alice Johnson
EMP1073,modified,Department,<MISSING>,Finance
EMP1073,modified,Date of Joining,<MISSING>,2020-11-28
EMP1074,modified,Name,<MISSING>,Alice Johnson
EMP1074,modified,Gender,<MISSING>,Female
EMP1074,modified,Salary,2500000.0,76968.6
EMP1074,modified,Date of Joining,2021.03.18,2021-03-18
EMP1075,modified,Date of Birth,<MISSING>,1985-01-11
EMP1075,modified,Gender,woman,Female
EMP1075,modified,Date of Joining,05/13/2021,2021-05-13
EMP1075,modified,Performance Score,<MISSING>,2.8
EMP1076,modified,Name,<MISSING>,Alice Johnson
EMP1076,modified,Department,<MISSING>,Finance
EMP1076,modified,Date of Birth,18-Oct-1993,1993-10-18
EMP1076,modified,Gender,Unknown,Female
EMP1077,modified,Name,<MISSING>,Alice Johnson
EMP1077,modified,Date of Birth,1994/02/10,1994-02-10
EMP1077,modified,Gender,M,Male
EMP1077,modified,Performance Score,<MISSING>,2.8
EMP1078,modified,Department,IT,It
EMP1078,modified,Date of Birth,<MISSING>,1985-01-11
EMP1078,modified,Date of Joining,2021.10.26,2021-10-26
EMP1079,modified,Name,<MISSING>,Alice Johnson
EMP1079,modified,Date of Birth,<MISSING>,1985-01-11
EMP1079,modified,Gender,Fem.,Female
EMP1080,modified,Gender,female,Female
EMP1080,modified,Performance Score,<MISSING>,2.8
EMP1081,modified,Salary,<MISSING>,94901.2
EMP1081,modified,Date of Joining,10-04-2022,2022-10-04
EMP1082,modified,Name,<MISSING>,Alice Johnson
EMP1082,modified,Date of Birth,<MISSING>,1985-01-11
EMP1082,modified,Gender,female,Female
EMP1082,modified,Date of Joining,<MISSING>,2022-10-04
EMP1083,modified,Gender,F,Female
EMP1084,modified,Name,<MISSING>,Alice Johnson
EMP1084,modified,Date of Birth,<MISSING>,1985-01-11
EMP1084,modified,Gender,<MISSING>,Female
EMP1084,modified,Performance Score,<MISSING>,3.2
EMP1085,modified,Date of Joining,<MISSING>,2022-09-23
EMP1086,modified,Department,HR,Hr
EMP1086,modified,Gender,female,Female
EMP1086,modified,Date of Joining,01/11/2023,2023-01-11
EMP1086,modified,Performance Score,<MISSING>,2.8
EMP1087,modified,Department,<MISSING>,Finance
EMP1087,modified,Date of Birth,<MISSING>,1985-01-11
EMP1087,modified,Gender,<MISSING>,Female
EMP1088,modified,Name,<MISSING>,Alice Johnson
EMP1088,modified,Department,IT,It
EMP1088,modified,Date of Birth,22-Jul-1997,1997-07-22
EMP1088,modified,Gender,M,Male
EMP1089,modified,Department,HR,Hr
EMP1089,modified,Date of Birth,11-13-1997,1997-11-13
EMP1089,modified,Gender,F,Female
EMP1090,modified,Name,<MISSING>,Alice Johnson
EMP1090,modified,Gender,M,Male
EMP1090,modified,Date of Joining,2023.08.21,2023-08-21
EMP1091,modified,Department,<MISSING>,Finance
EMP1091,modified,Gender,M,Male
EMP1092,modified,Department,<MISSING>,Finance
EMP1092,modified,Gender,Unknown,Female
EMP1092,modified,Date of Joining,<MISSING>,2023-10-15
EMP1094,modified,Date of Birth,06-08-1999,1999-06-08
EMP1094,modified,Gender,<MISSING>,Female
EMP1095,modified,Gender,female,Female
EMP1096,modified,Name,<MISSING>,Alice Johnson
EMP1096,modified,Department,IT,It
EMP1096,modified,Date of Birth,22/01/2000,2000-01-22
EMP1096,modified,Gender,Fem.,Female
EMP1096,modified,Date of Joining,<MISSING>,2024-05-23
EMP1097,modified,Department,<MISSING>,Finance
EMP1097,modified,Gender,<MISSING>,Female
EMP1097,modified,Salary,2500000.0,76874.68918918919
EMP1097,modified,Performance Score,<MISSING>,2.8666666666666667
EMP1098,modified,Department,<MISSING>,Finance
EMP1098,modified,Gender,male,Male
EMP1099,modified,Name,<MISSING>,Alice Johnson
EMP1099,modified,Gender,M,Male
