Employee ID,Name,Department,Date of Birth,Gender,Salary,Date of Joining,Performance Score
EMP1042,Alice Johnson,Finance,1985-01-11,Female,76874.68918918919,2016-05-13,2.8666666666666667
EMP1043,Farid Taylor,Sales,1983-06-19,Female,38627.0,2016-07-07,5.0
EMP1044,Alice Johnson,Finance,1983-10-12,Female,76874.68918918919,2016-08-31,2.8666666666666667
EMP1045,Diana Thomas,Finance,1985-01-11,Male,101969.0,2016-10-26,3.0
EMP1046,Farid Brown,Finance,1984-05-27,Female,71001.0,2016-12-20,4.0
EMP1047,Hector Taylor,Operations,1984-09-19,Female,104552.0,2017-02-13,2.6
EMP1048,Hector Garcia,Finance,1985-01-11,Male,51897.0,2017-04-10,2.0
EMP1049,Elena Garcia,Hr,1985-01-11,Female,96148.0,2017-06-04,5.0
EMP1050,Diana Anderson,Finance,1985-01-11,Male,51483.0,2017-07-29,1.0
EMP1051,Isabel Lopez,Hr,1985-01-11,Female,76555.0,2017-09-23,5.0
EMP1052,Jamal Taylor,It,1985-01-11,Female,45159.0,2017-11-17,4.0
EMP1053,Jamal Taylor,Finance,1986-08-06,Female,108077.0,2018-01-11,2.6
EMP1054,Alice Johnson,Hr,1985-01-11,Male,63920.0,2018-03-08,4.0
EMP1055,Alice Johnson,Sales,1987-03-23,Female,95121.0,2018-05-02,4.0
EMP1056,Hector Johnson,Finance,1987-07-15,Male,97479.0,2018-06-26,4.0
EMP1057,Alice Johnson,Finance,1987-11-06,Female,76968.6,2018-08-21,3.0
EMP1058,Carlos Garcia,Sales,1985-01-11,Female,72167.8,2018-10-15,2.0
EMP1059,Grace Thomas,Finance,1988-06-22,Female,80534.0,2018-10-15,4.0
EMP1060,Bob Taylor,Finance,1988-10-14,Female,105189.0,2019-02-03,1.0
EMP1061,Grace Thomas,Finance,1989-02-06,Male,94901.2,2019-03-30,1.0
EMP1062,Hector Anderson,Finance,1989-05-31,Female,80995.0,2019-05-24,1.0
EMP1063,Elena Anderson,Finance,1989-09-22,Female,94901.2,2019-05-24,1.0
EMP1064,Alice Johnson,Hr,1990-01-15,Male,37692.0,2019-05-24,3.0
EMP1065,Alice Johnson,Hr,1990-05-09,Female,94901.2,2019-11-06,1.0
EMP1066,Farid Johnson,Finance,1990-09-01,Male,100409.0,2020-01-01,3.6
EMP1067,Elena Taylor,Finance,1990-12-24,Female,99211.0,2020-02-25,5.0
EMP1068,Carlos Martinez,Finance,1991-04-17,Female,76874.68918918919,2020-04-20,2.8666666666666667
EMP1069,Alice Johnson,Hr,1991-08-10,Male,76874.68918918919,2020-06-15,2.8666666666666667
EMP1070,Alice Johnson,Finance,1985-01-11,Female,60606.0,2020-08-09,3.0
EMP1071,Isabel Johnson,Sales,1992-03-25,Female,39534.0,2020-10-03,1.0
EMP1072,Elena Anderson,Hr,1985-01-11,Male,73102.2,2020-11-28,5.0
EMP1073,Alice Johnson,Finance,1992-11-09,Male,119387.0,2020-11-28,1.0
EMP1074,Alice Johnson,Sales,1993-03-03,Female,76968.6,2021-03-18,3.0
EMP1075,Carlos Anderson,Finance,1985-01-11,Female,117789.0,2021-05-13,2.8
EMP1076,Alice Johnson,Finance,1993-10-18,Female,83591.0,2021-07-07,4.0
EMP1077,Alice Johnson,Finance,1994-02-10,Male,117812.0,2021-08-31,2.8
EMP1078,Hector Smith,It,1985-01-11,Male,51247.0,2021-10-26,1.0
EMP1079,Alice Johnson,Finance,1985-01-11,Female,52300.0,2021-12-20,4.0
EMP1080,Elena Brown,Marketing,1995-01-19,Female,102065.0,2022-02-13,2.8
EMP1081,Alice Brown,Marketing,1995-05-13,Male,94901.2,2022-10-04,1.0
EMP1082,Alice Johnson,Operations,1985-01-11,Female,37268.0,2022-10-04,2.0
EMP1083,Bob Martinez,Marketing,1995-12-28,Female,114807.0,2022-07-29,4.0
EMP1084,Alice Johnson,Marketing,1985-01-11,Female,40185.0,2022-09-23,3.2
EMP1085,Carlos Garcia,Finance,1996-08-12,Female,91704.0,2022-09-23,2.0
EMP1086,Hector Anderson,Hr,1996-12-05,Female,114779.0,2023-01-11,2.8
EMP1087,Carlos Lopez,Finance,1985-01-11,Female,67099.0,2023-03-08,1.0
EMP1088,Alice Johnson,It,1997-07-22,Male,36571.0,2023-05-02,5.0
EMP1089,Grace Brown,Hr,1997-11-13,Female,66044.0,2023-06-26,1.0
EMP1090,Alice Johnson,Sales,1998-03-07,Male,79214.0,2023-08-21,1.0
EMP1091,Elena Taylor,Finance,1998-06-30,Male,89228.0,2023-10-15,3.0
EMP1092,Farid Martinez,Finance,1998-10-22,Female,76984.0,2023-10-15,1.0
EMP1093,Isabel Martinez,Operations,1999-02-13,Male,68774.0,2024-02-03,2.0
EMP1094,Bob Brown,Sales,1999-06-08,Female,30568.0,2024-03-29,2.0
EMP1095,Diana Johnson,Marketing,1999-09-30,Female,90592.0,2024-05-23,4.0
EMP1096,Alice Johnson,It,2000-01-22,Female,95563.0,2024-05-23,5.0
EMP1097,Jamal Anderson,Finance,2000-05-16,Female,76874.68918918919,2024-09-11,2.8666666666666667
EMP1098,Diana Thomas,Finance,2000-09-07,Male,76190.0,2024-11-05,1.0
EMP1099,Alice Johnson,Operations,2000-12-31,Male,33258.0,2024-12-31,3.0
