Employee ID,Name,Department,Date of Birth,Gender,Salary,Date of Joining,Performance Score
EMP1088,,IT,22-Jul-1997,M,36571.0,2023-05-02,5.0
EMP1089,Grace Brown,HR,11-13-1997,F,66044.0,2023-06-26,1.0
EMP1090,,Sales,1998-03-07,M,79214.0,2023.08.21,1.0
EMP1091,Elena Taylor,,1998-06-30,M,89228.0,2023-10-15,3.0
EMP1092,Farid Martinez,,1998-10-22,Unknown,76984.0,,1.0
EMP1093,Isabel Martinez,Operations,1999-02-13,Male,68774.0,2024-02-03,2.0
EMP1094,Bob Brown,Sales,06-08-1999,,30568.0,2024-03-29,2.0
EMP1095,Diana Johnson,Marketing,1999-09-30,female,90592.0,2024-05-23,4.0
EMP1096,,IT,22/01/2000,Fem.,95563.0,,5.0
EMP1097,Jamal Anderson,,2000-05-16,,2500000.0,2024-09-11,
EMP1098,Diana Thomas,,2000-09-07,male,76190.0,2024-11-05,1.0
EMP1099,,Operations,2000-12-31,M,33258.0,2024-12-31,3.0
