Transaction ID,Employee ID,Product Category,Quantity Sold,Sale Amount,Payment Method,Sale Date,Name,Department,Date of Birth,Gender,Salary,Date of Joining,Performance Score,Employee Age at Sale,Employee Tenure at Sale
TXN5025,EMP1064,Electronics,5,1853.56,Cash,2023-06-15,Alice Johnson,Hr,1990-01-15,Male,37692.0,2019-05-24,3.0,33.4,4.1
TXN5026,EMP1040,Groceries,1,474.01,Cash,2023-06-22,Alice Johnson,Finance,1982-07-11,Female,69606.0,2016-01-23,3.0,40.9,7.4
TXN5027,EMP1082,Electronics,6,1095.18,Cash,2023-06-29,Alice Johnson,Operations,1985-01-11,Female,37268.0,2022-10-04,2.0,38.5,0.7
TXN5028,EMP1054,Electronics,13,2216.46,Credit Card,2023-07-05,Alice Johnson,Hr,1985-01-11,Male,63920.0,2018-03-08,4.0,38.5,5.3
TXN5029,EMP1044,Furniture,9,648.79,Credit Card,2023-07-12,Alice Johnson,Finance,1983-10-12,Female,76874.68918918919,2016-08-31,2.8666666666666667,39.7,6.9
TXN5030,EMP1045,Sports,6,1116.63,Debit Card,2023-07-18,Diana Thomas,Finance,1985-01-11,Male,101969.0,2016-10-26,3.0,38.5,6.7
TXN5031,EMP1022,Groceries,1,1548.09,Credit Card,2023-07-25,Hector Anderson,Finance,1976-11-21,Male,113305.0,2013-05-02,5.0,46.7,10.2
TXN5032,EMP1009,Furniture,11,271.83,Credit Card,2023-08-01,Alice Johnson,Finance,1972-10-26,Female,94901.2,2011-05-14,1.0,50.8,12.2
TXN5033,EMP1055,Groceries,13,1232.92,Mobile Pay,2023-08-07,Alice Johnson,Sales,1987-03-23,Female,95121.0,2018-05-02,4.0,36.4,5.3
TXN5034,EMP1088,Sports,1,126.09,Mobile Pay,2023-08-14,Alice Johnson,It,1997-07-22,Male,36571.0,2023-05-02,5.0,26.1,0.3
TXN5035,EMP1006,Sports,10,789.39,Credit Card,2023-08-21,Alice Johnson,Sales,1985-01-11,Female,73102.2,2010-11-29,5.0,38.6,12.7
TXN5036,EMP1085,Clothing,3,1883.82,Mobile Pay,2023-08-27,Carlos Garcia,Finance,1996-08-12,Female,91704.0,2022-09-23,2.0,27.0,0.9
TXN5037,EMP1082,Sports,1,1793.02,Credit Card,2023-09-03,Alice Johnson,Operations,1985-01-11,Female,37268.0,2022-10-04,2.0,38.6,0.9
TXN5038,EMP1027,Furniture,8,2354.76,Cash,2023-09-09,Diana Johnson,Marketing,1978-06-15,Female,46431.0,2014-02-03,3.0,45.2,9.6
TXN5039,EMP1063,Groceries,9,1945.58,Credit Card,2023-09-16,Elena Anderson,Finance,1989-09-22,Female,94901.2,2019-05-24,1.0,34.0,4.3
TXN5040,EMP1016,Electronics,9,958.94,Cash,2023-09-23,Carlos Brown,Hr,1985-01-11,Female,90955.0,2012-06-04,3.0,38.7,11.3
TXN5041,EMP1075,Electronics,13,2263.85,Credit Card,2023-09-29,Carlos Anderson,Finance,1985-01-11,Female,117789.0,2021-05-13,2.8,38.7,2.4
TXN5042,EMP1070,Sports,10,1387.38,Credit Card,2023-10-06,Alice Johnson,Finance,1985-01-11,Female,60606.0,2020-08-09,3.0,38.7,3.2
TXN5043,EMP1035,Electronics,8,1254.85,Cash,2023-10-13,Alice Johnson,Marketing,1980-12-16,Female,80534.0,2015-04-21,4.0,42.8,8.5
TXN5044,EMP1006,Furniture,7,1282.71,Cash,2023-10-19,Alice Johnson,Sales,1985-01-11,Female,73102.2,2010-11-29,5.0,38.8,12.9
TXN5045,EMP1097,Electronics,5,2074.97,Credit Card,2023-10-26,Jamal Anderson,Finance,2000-05-16,Female,76874.68918918919,2024-09-11,2.8666666666666667,23.4,-0.9
TXN5046,EMP1044,Furniture,9,994.58,Credit Card,2023-11-01,Alice Johnson,Finance,1983-10-12,Female,76874.68918918919,2016-08-31,2.8666666666666667,40.1,7.2
TXN5047,EMP1089,Clothing,6,1501.5,Cash,2023-11-08,Grace Brown,Hr,1997-11-13,Female,66044.0,2023-06-26,1.0,26.0,0.4
TXN5048,EMP1067,Clothing,1,1090.25,Credit Card,2023-11-15,Elena Taylor,Finance,1990-12-24,Female,99211.0,2020-02-25,5.0,32.9,3.7
TXN5049,EMP1077,Electronics,4,1739.96,Credit Card,2023-11-21,Alice Johnson,Finance,1994-02-10,Male,117812.0,2021-08-31,2.8,29.8,2.2
TXN5050,EMP1075,Electronics,3,1219.45,Credit Card,2023-11-28,Carlos Anderson,Finance,1985-01-11,Female,117789.0,2021-05-13,2.8,38.9,2.5
TXN5051,EMP1019,Electronics,10,333.73,Credit Card,2023-12-05,Bob Wilson,Operations,1975-12-13,Female,33311.0,2012-09-23,2.6,48.0,11.2
TXN5052,EMP1036,Electronics,12,1616.26,Credit Card,2023-12-11,Jamal Garcia,Marketing,1981-04-10,Female,59551.0,2015-04-21,5.0,42.7,8.6
TXN5053,EMP1046,Sports,10,1086.81,Debit Card,2023-12-18,Farid Brown,Finance,1984-05-27,Female,71001.0,2016-12-20,4.0,39.6,7.0
TXN5054,EMP1049,Beauty,14,1866.22,Debit Card,2023-12-25,Elena Garcia,Hr,1985-01-11,Female,96148.0,2017-06-04,5.0,39.0,6.6
TXN5055,EMP1004,Electronics,1,277.46,Debit Card,2023-12-31,Alice Johnson,Hr,1971-04-03,Male,34265.0,2010-08-10,1.0,52.7,13.4
TXN5056,EMP1054,Beauty,7,33.16,Debit Card,2024-01-07,Alice Johnson,Hr,1985-01-11,Male,63920.0,2018-03-08,4.0,39.0,5.8
TXN5057,EMP1015,Electronics,11,1291.4,Debit Card,2024-01-13,Farid Lopez,Operations,1974-09-12,Male,73102.2,2012-04-10,5.0,49.3,11.8
TXN5058,EMP1074,Electronics,11,2423.6,Credit Card,2024-01-20,Alice Johnson,Sales,1993-03-03,Female,76968.6,2021-03-18,3.0,30.9,2.8
TXN5059,EMP1068,Electronics,6,1756.92,Debit Card,2024-01-27,Carlos Martinez,Finance,1991-04-17,Female,76874.68918918919,2020-04-20,2.8666666666666667,32.8,3.8
TXN5060,EMP1092,Groceries,6,1043.01,Cash,2024-02-02,Farid Martinez,Finance,1998-10-22,Female,76984.0,2023-10-15,1.0,25.3,0.3
TXN5061,EMP1074,Beauty,6,315.07,Cash,2024-02-09,Alice Johnson,Sales,1993-03-03,Female,76968.6,2021-03-18,3.0,30.9,2.9
TXN5062,EMP1036,Beauty,9,165.0,Credit Card,2024-02-16,Jamal Garcia,Marketing,1981-04-10,Female,59551.0,2015-04-21,5.0,42.9,8.8
TXN5063,EMP1096,Electronics,6,1819.64,Credit Card,2024-02-22,Alice Johnson,It,2000-01-22,Female,95563.0,2024-05-23,5.0,24.1,-0.2
TXN5064,EMP1041,Clothing,12,2265.05,Cash,2024-02-29,Farid Smith,Marketing,1982-11-02,Female,73102.2,2016-03-18,5.0,41.3,8.0
TXN5065,EMP1032,Sports,11,1291.4,Cash,2024-03-06,Hector Wilson,Finance,1980-01-08,Male,63773.0,2014-09-12,5.0,44.2,9.5
TXN5066,EMP1090,Electronics,8,1466.59,Credit Card,2024-03-13,Alice Johnson,Sales,1998-03-07,Male,79214.0,2023-08-21,1.0,26.0,0.6
TXN5067,EMP1037,Beauty,6,1825.58,Credit Card,2024-03-20,Isabel Brown,Marketing,1981-08-02,Female,39394.0,2015-08-10,3.2,42.6,8.6
TXN5068,EMP1007,Groceries,4,741.11,Credit Card,2024-03-26,Diana Brown,It,1972-03-11,Female,115498.0,2011-01-23,2.8,52.0,13.2
TXN5069,EMP1046,Furniture,7,1314.15,Credit Card,2024-04-02,Farid Brown,Finance,1984-05-27,Female,71001.0,2016-12-20,4.0,39.8,7.3
TXN5070,EMP1079,Furniture,9,2039.91,Mobile Pay,2024-04-09,Alice Johnson,Finance,1985-01-11,Female,52300.0,2021-12-20,4.0,39.2,2.3
TXN5071,EMP1018,Electronics,3,1496.87,Credit Card,2024-04-15,Bob Taylor,Operations,1975-08-21,Female,95969.0,2012-09-23,3.0,48.7,11.6
TXN5072,EMP1046,Clothing,11,955.71,Credit Card,2024-04-22,Farid Brown,Finance,1984-05-27,Female,71001.0,2016-12-20,4.0,39.9,7.3
TXN5073,EMP1012,Electronics,5,207.73,Debit Card,2024-04-29,Hector Thomas,Finance,1973-10-04,Female,80534.0,2011-10-27,4.0,50.6,12.5
TXN5074,EMP1068,Sports,3,1224.96,Debit Card,2024-05-05,Carlos Martinez,Finance,1991-04-17,Female,76874.68918918919,2020-04-20,2.8666666666666667,33.1,4.0
TXN5075,EMP1047,Electronics,8,1178.46,Cash,2024-05-12,Hector Taylor,Operations,1984-09-19,Female,104552.0,2017-02-13,2.6,39.6,7.2
TXN5076,EMP1033,Clothing,4,466.11,Credit Card,2024-05-18,Alice Johnson,Finance,1980-05-02,Female,95435.0,2015-01-01,3.0,44.0,9.4
TXN5077,EMP1022,Beauty,12,189.29,Cash,2024-05-25,Hector Anderson,Finance,1976-11-21,Male,113305.0,2013-05-02,5.0,47.5,11.1
TXN5078,EMP1056,Furniture,7,882.39,Cash,2024-06-01,Hector Johnson,Finance,1987-07-15,Male,97479.0,2018-06-26,4.0,36.9,5.9
TXN5079,EMP1066,Beauty,10,839.65,Credit Card,2024-06-07,Farid Johnson,Finance,1990-09-01,Male,100409.0,2020-01-01,3.6,33.8,4.4
TXN5080,EMP1094,Sports,4,548.03,Credit Card,2024-06-14,Bob Brown,Sales,1999-06-08,Female,30568.0,2024-03-29,2.0,25.0,0.2
TXN5081,EMP1043,Electronics,7,250.22,Credit Card,2024-06-21,Farid Taylor,Sales,1983-06-19,Female,38627.0,2016-07-07,5.0,41.0,8.0
TXN5082,EMP1016,Sports,14,2097.26,Cash,2024-06-27,Carlos Brown,Hr,1985-01-11,Female,90955.0,2012-06-04,3.0,39.5,12.1
TXN5083,EMP1083,Electronics,13,1213.8,Credit Card,2024-07-04,Bob Martinez,Marketing,1995-12-28,Female,114807.0,2022-07-29,4.0,28.5,1.9
TXN5084,EMP1062,Electronics,8,1254.85,Cash,2024-07-10,Hector Anderson,Finance,1989-05-31,Female,80995.0,2019-05-24,1.0,35.1,5.1
TXN5085,EMP1070,Electronics,5,79.52,Cash,2024-07-17,Alice Johnson,Finance,1985-01-11,Female,60606.0,2020-08-09,3.0,39.5,3.9
TXN5086,EMP1009,Electronics,6,20.57,Cash,2024-07-24,Alice Johnson,Finance,1972-10-26,Female,94901.2,2011-05-14,1.0,51.7,13.2
TXN5087,EMP1031,Beauty,4,2312.18,Debit Card,2024-07-30,Grace Lopez,Finance,1979-09-16,Male,112654.0,2014-09-12,2.8,44.9,9.9
TXN5088,EMP1076,Clothing,6,1689.72,Credit Card,2024-08-06,Alice Johnson,Finance,1993-10-18,Female,83591.0,2021-07-07,4.0,30.8,3.1
TXN5089,EMP1083,Beauty,5,2487.11,Debit Card,2024-08-13,Bob Martinez,Marketing,1995-12-28,Female,114807.0,2022-07-29,4.0,28.6,2.0
TXN5090,EMP1043,Groceries,9,1206.57,Debit Card,2024-08-19,Farid Taylor,Sales,1983-06-19,Female,38627.0,2016-07-07,5.0,41.2,8.1
TXN5091,EMP1080,Electronics,4,410.46,Credit Card,2024-08-26,Elena Brown,Marketing,1995-01-19,Female,102065.0,2022-02-13,2.8,29.6,2.5
TXN5092,EMP1084,Groceries,6,1018.98,Credit Card,2024-09-01,Alice Johnson,Marketing,1985-01-11,Female,40185.0,2022-09-23,3.2,39.6,1.9
TXN5093,EMP1038,Groceries,5,427.68,Credit Card,2024-09-08,Carlos Martinez,Sales,1981-11-24,Female,97092.0,2015-08-10,5.0,42.8,9.1
TXN5094,EMP1089,Sports,11,932.67,Credit Card,2024-09-15,Grace Brown,Hr,1997-11-13,Female,66044.0,2023-06-26,1.0,26.8,1.2
TXN5095,EMP1028,Electronics,2,1095.09,Credit Card,2024-09-21,Alice Brown,Finance,1985-01-11,Female,94901.2,2014-02-03,1.0,39.7,10.6
TXN5096,EMP1023,Electronics,7,217.88,Credit Card,2024-09-28,Bob Taylor,Finance,1977-03-15,Female,56693.0,2013-06-26,3.0,47.5,11.3
TXN5097,EMP1068,Furniture,7,1282.71,Credit Card,2024-10-05,Carlos Martinez,Finance,1991-04-17,Female,76874.68918918919,2020-04-20,2.8666666666666667,33.5,4.5
TXN5098,EMP1063,Beauty,1,1225.65,Credit Card,2024-10-11,Elena Anderson,Finance,1989-09-22,Female,94901.2,2019-05-24,1.0,35.1,5.4
TXN5099,EMP1013,Electronics,13,808.72,Cash,2024-10-18,Elena Smith,Finance,1974-01-26,Female,92820.0,2011-12-21,2.0,50.7,12.8
TXN5100,EMP1083,Electronics,14,2407.2,Mobile Pay,2024-10-25,Bob Martinez,Marketing,1995-12-28,Female,114807.0,2022-07-29,4.0,28.8,2.2
TXN5101,EMP1019,Beauty,8,2493.47,Cash,2024-10-31,Bob Wilson,Operations,1975-12-13,Female,33311.0,2012-09-23,2.6,48.9,12.1
TXN5102,EMP1080,Electronics,13,1222.75,Mobile Pay,2024-11-07,Elena Brown,Marketing,1995-01-19,Female,102065.0,2022-02-13,2.8,29.8,2.7
TXN5103,EMP1000,Sports,12,813.41,Credit Card,2024-11-13,Bob Smith,Sales,1970-01-01,Female,43795.0,2010-01-01,3.4,54.9,14.9
TXN5104,EMP1079,Clothing,2,2434.0,Cash,2024-11-20,Alice Johnson,Finance,1985-01-11,Female,52300.0,2021-12-20,4.0,39.9,2.9
TXN5105,EMP1078,Electronics,4,2496.82,Mobile Pay,2024-11-27,Hector Smith,It,1985-01-11,Male,51247.0,2021-10-26,1.0,39.9,3.1
TXN5106,EMP1078,Beauty,2,1121.35,Cash,2024-12-03,Hector Smith,It,1985-01-11,Male,51247.0,2021-10-26,1.0,39.9,3.1
TXN5107,EMP1066,Sports,6,126.19,Credit Card,2024-12-10,Farid Johnson,Finance,1990-09-01,Male,100409.0,2020-01-01,3.6,34.3,4.9
TXN5108,EMP1047,Groceries,14,1125.95,Cash,2024-12-17,Hector Taylor,Operations,1984-09-19,Female,104552.0,2017-02-13,2.6,40.2,7.8
TXN5109,EMP1070,Groceries,9,1779.78,Credit Card,2024-12-23,Alice Johnson,Finance,1985-01-11,Female,60606.0,2020-08-09,3.0,39.9,4.4
TXN5110,EMP1027,Sports,1,1570.79,Credit Card,2024-12-30,Diana Johnson,Marketing,1978-06-15,Female,46431.0,2014-02-03,3.0,46.5,10.9
TXN5111,EMP1078,Electronics,4,1681.56,Mobile Pay,2025-01-05,Hector Smith,It,1985-01-11,Male,51247.0,2021-10-26,1.0,40.0,3.2
TXN5112,EMP1055,Furniture,7,2430.22,Credit Card,2025-01-12,Alice Johnson,Sales,1987-03-23,Female,95121.0,2018-05-02,4.0,37.8,6.7
TXN5113,EMP1045,Electronics,10,1660.0,Cash,2025-01-19,Diana Thomas,Finance,1985-01-11,Male,101969.0,2016-10-26,3.0,40.0,8.2
TXN5114,EMP1050,Electronics,5,242.25,Mobile Pay,2025-01-25,Diana Anderson,Finance,1985-01-11,Male,51483.0,2017-07-29,1.0,40.0,7.5
TXN5115,EMP1056,Electronics,7,1480.48,Credit Card,2025-02-01,Hector Johnson,Finance,1987-07-15,Male,97479.0,2018-06-26,4.0,37.6,6.6
TXN5116,EMP1003,Furniture,13,540.78,Cash,2025-02-08,Bob Anderson,Finance,1970-12-10,Female,76874.68918918919,2010-06-16,2.8666666666666667,54.2,14.7
TXN5117,EMP1013,Beauty,12,1990.76,Debit Card,2025-02-14,Elena Smith,Finance,1974-01-26,Female,92820.0,2011-12-21,2.0,51.1,13.2
TXN5118,EMP1024,Electronics,8,885.51,Mobile Pay,2025-02-21,Bob Anderson,Hr,1977-07-07,Female,99932.0,2013-08-21,1.0,47.6,11.5
TXN5119,EMP1011,Clothing,10,1263.55,Cash,2025-02-28,Grace Brown,It,1973-06-12,Male,94901.2,2011-09-01,1.0,51.7,13.5
